c n x y
ElGrid Grid_Tariffs 0 S+BIO+FC
ElGrid Emission_costs 0 S+BIO+FC
ElGrid LCOE 0.07396406497164751 S+BIO+FC
DH Invest 0 S+BIO+FC
DH Fuel 0 S+BIO+FC
DH Maint 0 S+BIO+FC
DH Certificates 0 S+BIO+FC
DH Grid_Tariffs 0 S+BIO+FC
DH Emission_costs 0 S+BIO+FC
DH LCOE 0.1299649539917429 S+BIO+FC
Total Invest 358.535 S+FC
Total Fuel 0.0 S+FC
Total Maint 35.26 S+FC
Total Import 1253.067 S+FC
Total Export 0.0 S+FC
Total Certificates 4.217 S+FC
Total DH 191.675 S+FC
Total Grid_Tariffs 207.794 S+FC
Total Emission_costs 0.0 S+FC
Total Total_cost 1788.085 S+FC
Total Emissions 325622.315 S+FC
Total LCOE 0.0 S+FC
Power1 Invest 0.0 S+FC
Power1 Fuel 4.874511233521304e-12 S+FC
Power1 Maint 0.0 S+FC
Power1 Certificates 0 S+FC
Power1 Grid_Tariffs 0 S+FC
Power1 Emission_costs 0 S+FC
Power1 LCOE 0.0 S+FC
Power2 Invest 0.0 S+FC
Power2 Fuel 0.0 S+FC
Power2 Maint 0.0 S+FC
Power2 Certificates 0 S+FC
Power2 Grid_Tariffs 0 S+FC
Power2 Emission_costs 0 S+FC
Power2 LCOE 0.0 S+FC
Heat1 Invest 0.0 S+FC
Heat1 Fuel 0.0 S+FC
Heat1 Maint 0.0 S+FC
Heat1 Certificates 0 S+FC
Heat1 Grid_Tariffs 0 S+FC
Heat1 Emission_costs 0 S+FC
Heat1 LCOE 0.0 S+FC
PV Invest 41.55027117545384 S+FC
PV Fuel 0 S+FC
PV Maint 26.63013698630137 S+FC
PV Certificates 0 S+FC
PV Grid_Tariffs 0 S+FC
PV Emission_costs 0 S+FC
PV LCOE 0.03233582395234321 S+FC
ST Invest 62.95495632644522 S+FC
ST Fuel 0 S+FC
ST Maint 8.63013698630137 S+FC
ST Certificates 0 S+FC
ST Grid_Tariffs 0 S+FC
ST Emission_costs 0 S+FC
ST LCOE 0.04853818995724672 S+FC
ElGrid Invest 0 S+FC
ElGrid Fuel 0 S+FC
ElGrid Maint 0 S+FC
ElGrid Certificates 0 S+FC
ElGrid Grid_Tariffs 0 S+FC
ElGrid Emission_costs 0 S+FC
ElGrid LCOE 0.07396406497164879 S+FC
DH Invest 0 S+FC
DH Fuel 0 S+FC
DH Maint 0 S+FC
DH Certificates 0 S+FC
DH Grid_Tariffs 0 S+FC
DH Emission_costs 0 S+FC
DH LCOE 0.1299649539917245 S+FC
Total Invest 883.652 W+IMin+BIO
Total Fuel 1102.08 W+IMin+BIO
Total Maint 253.806 W+IMin+BIO
Total Import 1009.633 W+IMin+BIO
Total Export 0.0 W+IMin+BIO
Total Certificates 0.544 W+IMin+BIO
Total DH 2157.835 W+IMin+BIO
Total Grid_Tariffs 207.794 W+IMin+BIO
Total Emission_costs 246.699 W+IMin+BIO
Total Total_cost 5360.226 W+IMin+BIO
Total Emissions 365167.506 W+IMin+BIO
Total LCOE 0.0 W+IMin+BIO
Power1 Invest 0.0 W+IMin+BIO
Power1 Fuel 0.0 W+IMin+BIO
Power1 Maint 0.0 W+IMin+BIO
Power1 Certificates 0 W+IMin+BIO
