k x y
P_pv 1593.219 S+PON+IMin+BIO+FC
P_pv 1593.219 S+PON+IMin+BIO
P_pv 1593.219 S+PON+IMin+FC
P_pv 1593.219 S+IMin+PON+BIO+FC
P_pv 1593.219 S+IMin+PON+BIO
P_pv 1593.219 S+IMin+PON+FC
P_pv 1593.219 S+IMin+PON+IMin+BIO+FC
P_pv 1593.219 S+IMin+PON+IMin+BIO
P_pv 1593.219 S+IMin+PON+IMin+FC
P_pv 221.51 W+PON+BIO+FC
P_pv 221.51 W+PON+BIO
P_pv 221.51 W+PON+FC
P_pv 221.51 W+PON+IMin+BIO+FC
P_pv 221.51 W+PON+IMin+BIO
P_pv 221.51 W+PON+IMin+FC
P_pv 221.51 W+IMin+PON+BIO+FC
P_pv 221.51 W+IMin+PON+BIO
P_pv 221.51 W+IMin+PON+FC
P_pv 221.51 W+IMin+PON+IMin+BIO+FC
P_pv 221.51 W+IMin+PON+IMin+BIO
P_pv 221.51 W+IMin+PON+IMin+FC
P_fc 0.0 S+PON+BIO+FC
P_fc 0.0 S+PON+BIO
P_fc 0.0 S+PON+FC
P_fc 8051.805 S+PON+IMin+BIO+FC
P_fc 0.0 S+PON+IMin+BIO
P_fc 8072.709 S+PON+IMin+FC
P_fc 0.0 S+IMin+PON+BIO+FC
P_fc 0.0 S+IMin+PON+BIO
P_fc 0.0 S+IMin+PON+FC
P_fc 8050.161 S+IMin+PON+IMin+BIO+FC
P_fc 0.0 S+IMin+PON+IMin+BIO
P_fc 8070.161 S+IMin+PON+IMin+FC
P_fc 0.0 W+PON+BIO+FC
P_fc 0.0 W+PON+BIO
P_fc 16800.0 W+PON+FC
P_fc 15225.442 W+PON+IMin+BIO+FC
P_fc 0.0 W+PON+IMin+BIO
P_fc 16152.796 W+PON+IMin+FC
P_fc 0.0 W+IMin+PON+BIO+FC
P_fc 0.0 W+IMin+PON+BIO
P_fc 16800.0 W+IMin+PON+FC
P_fc 15470.046 W+IMin+PON+IMin+BIO+FC
P_fc 0.0 W+IMin+PON+IMin+BIO
P_fc 16066.047 W+IMin+PON+IMin+FC
P_bio 0.0 S+PON+BIO+FC
P_bio 0.0 S+PON+BIO
P_bio 0.0 S+PON+FC
P_bio 0.0 S+PON+IMin+BIO+FC
P_bio 2923.656 S+PON+IMin+BIO
P_bio 0.0 S+PON+IMin+FC
P_bio 0.0 S+IMin+PON+BIO+FC
P_bio 0.0 S+IMin+PON+BIO
P_bio 0.0 S+IMin+PON+FC
P_bio 0.0 S+IMin+PON+IMin+BIO+FC
P_bio 2923.484 S+IMin+PON+IMin+BIO
P_bio 0.0 S+IMin+PON+IMin+FC
P_bio 6720.0 W+PON+BIO+FC
P_bio 6720.0 W+PON+BIO
P_bio 0.0 W+PON+FC
P_bio 3422.817 W+PON+IMin+BIO+FC
P_bio 6720.0 W+PON+IMin+BIO
P_bio 0.0 W+PON+IMin+FC
P_bio 6720.0 W+IMin+PON+BIO+FC
P_bio 6720.0 W+IMin+PON+BIO
P_bio 0.0 W+IMin+PON+FC
P_bio 3197.476 W+IMin+PON+IMin+BIO+FC
P_bio 6720.0 W+IMin+PON+IMin+BIO
P_bio 0.0 W+IMin+PON+IMin+FC
P_imp 22430.69 S+PON+BIO+FC
P_imp 22430.69 S+PON+BIO
P_imp 22430.69 S+PON+FC
P_imp 8093.754 S+PON+IMin+BIO+FC
P_imp 13199.48 S+PON+IMin+BIO
P_imp 8093.772 S+PON+IMin+FC
P_imp 22432.838 S+IMin+PON+BIO+FC
P_imp 22432.838 S+IMin+PON+BIO
P_imp 22432.838 S+IMin+PON+FC
P_imp 8097.537 S+IMin+PON+IMin+BIO+FC
P_imp 13201.798 S+IMin+PON+IMin+BIO
P_imp 8097.537 S+IMin+PON+IMin+FC
P_imp 26634.259 W+PON+BIO+FC
P_imp 26634.259 W+PON+BIO
P_imp 18437.093 W+PON+FC
P_imp 0.0 W+PON+IMin+BIO+FC
P_imp 10940.877 W+PON+IMin+BIO
P_imp 1975.661 W+PON+IMin+FC
P_imp 26635.802 W+IMin+PON+BIO+FC
P_imp 26635.802 W+IMin+PON+BIO
P_imp 18439.241 W+IMin+PON+FC
P_imp 40.649 W+IMin+PON+IMin+BIO+FC
P_imp 10943.024 W+IMin+PON+IMin+BIO
P_imp 1988.793 W+IMin+PON+IMin+FC
P_exp 0.0 S+PON+BIO+FC
P_exp 0.0 S+PON+BIO
P_exp 0.0 S+PON+FC
P_exp 18.476 S+PON+IMin+BIO+FC
P_exp 0.0 S+PON+IMin+BIO
P_exp 39.415 S+PON+IMin+FC
P_exp 0.0 S+IMin+PON+BIO+FC
P_exp 0.0 S+IMin+PON+BIO
P_exp 0.0 S+IMin+PON+FC
P_exp 18.476 S+IMin+PON+IMin+BIO+FC
P_exp 0.0 S+IMin+PON+IMin+BIO
P_exp 38.476 S+IMin+PON+IMin+FC
P_exp 16.864 W+PON+BIO+FC
P_exp 16.864 W+PON+BIO
P_exp 261.783 W+PON+FC
P_exp 847.845 W+PON+IMin+BIO+FC
P_exp 0.0 W+PON+IMin+BIO
P_exp 415.447 W+PON+IMin+FC
P_exp 16.864 W+IMin+PON+BIO+FC
P_exp 16.864 W+IMin+PON+BIO
P_exp 261.783 W+IMin+PON+FC
P_exp 990.962 W+IMin+PON+IMin+BIO+FC
P_exp 0.0 W+IMin+PON+IMin+BIO
P_exp 327.136 W+IMin+PON+IMin+FC
Boiler 6268.375 S+PON+BIO+FC
Boiler 6268.375 S+PON+BIO
Boiler 6268.375 S+PON+FC
Boiler 0.0 S+PON+IMin+BIO+FC
Boiler 0.0 S+PON+IMin+BIO
Boiler 0.0 S+PON+IMin+FC
Boiler 6268.987 S+IMin+PON+BIO+FC
Boiler 6268.987 S+IMin+PON+BIO
Boiler 6268.987 S+IMin+PON+FC
Boiler 0.0 S+IMin+PON+IMin+BIO+FC
Boiler 0.0 S+IMin+PON+IMin+BIO
Boiler 0.0 S+IMin+PON+IMin+FC
Boiler 15570.333 W+PON+BIO+FC
Boiler 15570.333 W+PON+BIO
Boiler 17228.861 W+PON+FC
Boiler 96.41 W+PON+IMin+BIO+FC
Boiler 0.0 W+PON+IMin+BIO
Boiler 20.463 W+PON+IMin+FC
Boiler 15569.728 W+IMin+PON+BIO+FC
Boiler 15569.728 W+IMin+PON+BIO
Boiler 17228.861 W+IMin+PON+FC
Boiler 20.081 W+IMin+PON+IMin+BIO+FC
Boiler 0.0 W+IMin+PON+IMin+BIO
Boiler 25.585 W+IMin+PON+IMin+FC
V_bat_ch 858.947 S+PON+BIO+FC
V_bat_ch 858.947 S+PON+BIO
V_bat_ch 858.947 S+PON+FC
V_bat_ch 154.292 S+PON+IMin+BIO+FC
V_bat_ch 75.342 S+PON+IMin+BIO
V_bat_ch 153.964 S+PON+IMin+FC
V_bat_ch 889.658 S+IMin+PON+BIO+FC
V_bat_ch 889.658 S+IMin+PON+BIO
V_bat_ch 889.658 S+IMin+PON+FC
V_bat_ch 197.069 S+IMin+PON+IMin+BIO+FC
V_bat_ch 118.289 S+IMin+PON+IMin+BIO
V_bat_ch 197.069 S+IMin+PON+IMin+FC
V_bat_ch 2204.073 W+PON+BIO+FC
V_bat_ch 2204.073 W+PON+BIO
V_bat_ch 1791.813 W+PON+FC
V_bat_ch 942.897 W+PON+IMin+BIO+FC
V_bat_ch 80.357 W+PON+IMin+BIO
V_bat_ch 713.759 W+PON+IMin+FC
V_bat_ch 2247.02 W+IMin+PON+BIO+FC
V_bat_ch 2247.02 W+IMin+PON+BIO
V_bat_ch 1834.76 W+IMin+PON+FC
V_bat_ch 805.382 W+IMin+PON+IMin+BIO+FC
V_bat_ch 123.304 W+IMin+PON+IMin+BIO
V_bat_ch 905.179 W+IMin+PON+IMin+FC
V_bat_dis 816.0 S+PON+BIO+FC
V_bat_dis 816.0 S+PON+BIO
V_bat_dis 816.0 S+PON+FC
V_bat_dis 146.577 S+PON+IMin+BIO+FC
V_bat_dis 71.575 S+PON+IMin+BIO
V_bat_dis 146.266 S+PON+IMin+FC
V_bat_dis 845.175 S+IMin+PON+BIO+FC
