c n x y
Total Total_cost 1910.212 S+POD+FC
Total Emissions 134222.087 S+POD+FC
Total LCOE 0.0 S+POD+FC
Power1 Invest 244.5439392393027 S+POD+FC
Power1 Fuel 710.301609954984 S+POD+FC
Power1 Maint 75.53213909378294 S+POD+FC
Power1 Certificates 0 S+POD+FC
Power1 Grid_Tariffs 0 S+POD+FC
Power1 Emission_costs 0 S+POD+FC
Power1 LCOE 0.07711963369536859 S+POD+FC
Power2 Invest 0.0 S+POD+FC
Power2 Fuel 0.0 S+POD+FC
Power2 Maint 0.0 S+POD+FC
Power2 Certificates 0 S+POD+FC
Power2 Grid_Tariffs 0 S+POD+FC
Power2 Emission_costs 0 S+POD+FC
Power2 LCOE 0.0 S+POD+FC
Heat1 Invest 0.0 S+POD+FC
Heat1 Fuel 0.0 S+POD+FC
Heat1 Maint 0.0 S+POD+FC
Heat1 Certificates 0 S+POD+FC
Heat1 Grid_Tariffs 0 S+POD+FC
Heat1 Emission_costs 0 S+POD+FC
Heat1 LCOE 0.0 S+POD+FC
PV Invest 41.55027117545384 S+POD+FC
PV Fuel 0 S+POD+FC
PV Maint 26.63013698630137 S+POD+FC
PV Certificates 0 S+POD+FC
PV Grid_Tariffs 0 S+POD+FC
PV Emission_costs 0 S+POD+FC
PV LCOE 0.03233582395234321 S+POD+FC
ST Invest 62.95495632644522 S+POD+FC
ST Fuel 0 S+POD+FC
ST Maint 8.63013698630137 S+POD+FC
ST Certificates 0 S+POD+FC
ST Grid_Tariffs 0 S+POD+FC
ST Emission_costs 0 S+POD+FC
ST LCOE 0.04853818995724672 S+POD+FC
ElGrid Invest 0 S+POD+FC
ElGrid Fuel 0 S+POD+FC
ElGrid Maint 0 S+POD+FC
ElGrid Certificates 0 S+POD+FC
ElGrid Grid_Tariffs 0 S+POD+FC
ElGrid Emission_costs 0 S+POD+FC
ElGrid LCOE 0.08584926120545044 S+POD+FC
DH Invest 0 S+POD+FC
DH Fuel 0 S+POD+FC
DH Maint 0 S+POD+FC
DH Certificates 0 S+POD+FC
DH Grid_Tariffs 0 S+POD+FC
DH Emission_costs 0 S+POD+FC
DH LCOE 0.004876378691581473 S+POD+FC
Total Invest 584.028 W+IMin+POD+BIO
Total Fuel 2426.443 W+IMin+POD+BIO
Total Maint 178.274 W+IMin+POD+BIO
Total Import 4.231 W+IMin+POD+BIO
Total Export 28.231 W+IMin+POD+BIO
Total Certificates 0.544 W+IMin+POD+BIO
Total DH 7.192 W+IMin+POD+BIO
Total Grid_Tariffs 207.794 W+IMin+POD+BIO
Total Emission_costs 246.699 W+IMin+POD+BIO
Total Total_cost 3125.156 W+IMin+POD+BIO
Total Emissions 105242.965 W+IMin+POD+BIO
Total LCOE 0.0 W+IMin+POD+BIO
Power1 Invest 0.0 W+IMin+POD+BIO
Power1 Fuel 1324.362667105214 W+IMin+POD+BIO
Power1 Maint 0.0 W+IMin+POD+BIO
Power1 Certificates 0 W+IMin+POD+BIO
Power1 Grid_Tariffs 0 W+IMin+POD+BIO
Power1 Emission_costs 0 W+IMin+POD+BIO
Power1 LCOE 0.05316327885476608 W+IMin+POD+BIO
Power2 Invest 225.4927410057708 W+IMin+POD+BIO
Power2 Fuel 1102.079999999995 W+IMin+POD+BIO
Power2 Maint 143.013698630137 W+IMin+POD+BIO
Power2 Certificates 0 W+IMin+POD+BIO
Power2 Grid_Tariffs 0 W+IMin+POD+BIO
Power2 Emission_costs 0 W+IMin+POD+BIO
Power2 LCOE 0.06252493365798908 W+IMin+POD+BIO
Heat1 Invest 0.0 W+IMin+POD+BIO
Heat1 Fuel 0.0 W+IMin+POD+BIO
Heat1 Maint 0.0 W+IMin+POD+BIO
Heat1 Certificates 0 W+IMin+POD+BIO
Heat1 Grid_Tariffs 0 W+IMin+POD+BIO
Heat1 Emission_costs 0 W+IMin+POD+BIO
Heat1 LCOE 0.0 W+IMin+POD+BIO
PV Invest 41.55027117545384 W+IMin+POD+BIO
PV Fuel 0 W+IMin+POD+BIO
PV Maint 26.63013698630137 W+IMin+POD+BIO
PV Certificates 0 W+IMin+POD+BIO
PV Grid_Tariffs 0 W+IMin+POD+BIO
PV Emission_costs 0 W+IMin+POD+BIO
PV LCOE 0.2507370114804178 W+IMin+POD+BIO
ST Invest 62.95495632644522 W+IMin+POD+BIO
ST Fuel 0 W+IMin+POD+BIO
ST Maint 8.63013698630137 W+IMin+POD+BIO
ST Certificates 0 W+IMin+POD+BIO
ST Grid_Tariffs 0 W+IMin+POD+BIO
ST Emission_costs 0 W+IMin+POD+BIO
ST LCOE 0.4227549359992122 W+IMin+POD+BIO
ElGrid Invest 0 W+IMin+POD+BIO
ElGrid Fuel 0 W+IMin+POD+BIO
ElGrid Maint 0 W+IMin+POD+BIO
ElGrid Certificates 0 W+IMin+POD+BIO
ElGrid Grid_Tariffs 0 W+IMin+POD+BIO
ElGrid Emission_costs 0 W+IMin+POD+BIO
ElGrid LCOE 4.780712379027579 W+IMin+POD+BIO
DH Invest 0 W+IMin+POD+BIO
DH Fuel 0 W+IMin+POD+BIO
DH Maint 0 W+IMin+POD+BIO
DH Certificates 0 W+IMin+POD+BIO
DH Grid_Tariffs 0 W+IMin+POD+BIO
DH Emission_costs 0 W+IMin+POD+BIO
DH LCOE 0.04247198264878019 W+IMin+POD+BIO
Total Invest 828.572 W+IMin+POD+BIO+FC
Total Fuel 2426.443 W+IMin+POD+BIO+FC
Total Maint 253.806 W+IMin+POD+BIO+FC
Total Import 4.231 W+IMin+POD+BIO+FC
Total Export 28.231 W+IMin+POD+BIO+FC
Total Certificates 0.544 W+IMin+POD+BIO+FC
Total DH 7.192 W+IMin+POD+BIO+FC
Total Grid_Tariffs 207.794 W+IMin+POD+BIO+FC
Total Emission_costs 246.699 W+IMin+POD+BIO+FC
Total Total_cost 3445.233 W+IMin+POD+BIO+FC
Total Emissions 105242.965 W+IMin+POD+BIO+FC
Total LCOE 0.0 W+IMin+POD+BIO+FC
Power1 Invest 244.5439392393027 W+IMin+POD+BIO+FC
Power1 Fuel 1324.362667105214 W+IMin+POD+BIO+FC
Power1 Maint 75.53213909378294 W+IMin+POD+BIO+FC
Power1 Certificates 0 W+IMin+POD+BIO+FC
